ID (word index),FORM,LEMMA,U-POS,X-POS,FEATS,MISC
# sent_id = 1185,,,,,,
"# text = תחזית חטיבת המחקר מניחה שלא יהיו סגרים בטווח הנראה לעין, ושהמשק יצמח השנה ב-5.5 אחוזים תוך התאוששות נוספת ב-2023. ",,,,,,
1,תחזית,תַּחֲזִית,NOUN,NOUN,Gender=Fem|Number=Sing|Definite=Cons,
2,חטיבת,חֲטִיבָה,NOUN,NOUN,Gender=Fem|Number=Sing|Definite=Cons,
3-4,המחקר,_,_,_,_,
3,ה,הַ,DET,DET,PronType=Art|Definite=Def,
4,מחקר,מֶחְקָר,NOUN,NOUN,Gender=Masc|Number=Sing,
5,מניחה,הֵנִיחַ,VERB,VERB,HebBinyan=HIFIL|Voice=Act|Gender=Fem|Number=Sing|VerbForm=Part,
6-7,שלא,_,_,_,_,
6,ש,שֶׁ,SCONJ,SCONJ,_,
7,לא,לֹא,PART,PART,Polarity=Neg,
8,יהיו,הָיָה,VERB,VERB,"HebBinyan=PAAL|Voice=Act|Gender=Masc,Fem|Number=Plur|Person=3|Tense=Fut",
9,סגרים,סֶגֶר,NOUN,NOUN,Gender=Masc|Number=Plur,
10-12,בטווח,_,_,_,_,
10,ב,בְּ,ADP,ADP,_,
11,_ה_,הַ,DET,DET,PronType=Art|Definite=Def,
12,טווח,טְוָח,NOUN,NOUN,Gender=Masc|Number=Sing,
13-14,הנראה,_,_,_,_,
13,ה,הַ,SCONJ,SCONJ,_,
14,נראה,נִרְאָה,VERB,VERB,HebBinyan=NIFAL|Voice=Mid|Gender=Masc|Number=Sing|VerbForm=Part,
15-18,"לעין,",_,_,_,_,
15,ל,לְ,ADP,ADP,_,
16,_ה_,הַ,DET,DET,PronType=Art|Definite=Def,
17,עין,עַיִן,NOUN,NOUN,Gender=Fem|Number=Sing,SpaceAfter=No
18,",",",",PUNCT,PUNCT,_,
19-22,ושהמשק,_,_,_,_,
19,ו,וְ,CCONJ,CCONJ,_,
20,ש,שֶׁ,SCONJ,SCONJ,_,
21,ה,הַ,DET,DET,PronType=Art|Definite=Def,
22,משק,מֶשֶׁק,NOUN,NOUN,Gender=Masc|Number=Sing,
23,יצמח,צָמַח,VERB,VERB,HebBinyan=PAAL|Voice=Act|Gender=Masc|Number=Sing|Person=3|Tense=Fut,
24,השנה,הַשָּׁנָה,ADV,ADV,_,
25-27,ב-5.5,_,_,_,_,
25,ב,בְּ,ADP,ADP,_,
26,-,-,PUNCT,PUNCT,_,
27,5.5,5.5,NUM,NUM,NumType=Card,
28,אחוזים,אָחוּז,NOUN,NOUN,Gender=Masc|Number=Plur,
29,תוך,תּוֹךְ,ADP,ADP,Definite=Cons,
30,התאוששות,הִתְאוֹשְׁשׁוּת,NOUN,NOUN,Gender=Fem|Number=Sing,
31,נוספת,נוֹסָף,ADJ,ADJ,HebBinyan=NIFAL|Voice=Mid|Gender=Fem|Number=Sing,
32-35,ב-2023.,_,_,_,_,
32,ב,בְּ,ADP,ADP,_,
33,-,-,PUNCT,PUNCT,_,
34,2023,2023,NUM,NUM,NumType=Card,
35,.,.,PUNCT,PUNCT,_,


